,Number,Theme,Subtheme,Year,Set name,Pieces,RRP (USD),Value new (USD),Value used (USD),CPI Mean
56,8857-2,Technic,Technic,1980,Motorcycles,377.0,495.0,38.12,100.0,228.3769230769231
57,8858-2,Technic,Technic,1980,Auto Engines,242.0,690.0,38.12,147.86,228.3769230769231
58,8860-1,Technic,Technic,1980,Car Chassis,668.0,590.0,879.73,88.87,228.3769230769231
59,KCP03-1,Gear,Key Chains/Promotional,1980,WWF Female Minifigure Key Chain,110.0,0.0,38.12,20.0,228.3769230769231
60,226-2,Books,LEGO,1981,Building Ideas Book,110.0,24.0,38.12,20.0,236.3153846153846
61,322-1,Basic,Basic,1981,Basic Set,53.0,60.0,37.34,27.96,236.3153846153846
62,333-1,Basic,Basic,1981,Basic Set,98.0,100.0,14.85,21.46,236.3153846153846
63,355-2,Basic,Basic,1981,Universal Building Set,181.0,185.0,56.19,5.46,236.3153846153846
64,544-1,Basic,Basic,1981,"Basic Building Set, 5+",141.0,95.0,38.12,17.84,236.3153846153846
65,566-1,Basic,Basic,1981,"Basic Building Set, 5+",288.0,260.0,218.36,21.38,236.3153846153846
66,577-1,Basic,Basic,1981,"Basic Building Set, 5+",384.0,380.0,180.61,59.91,236.3153846153846
67,6075-2,Castle,Classic,1981,Castle,767.0,480.0,38.12,475.0,236.3153846153846
68,6077-1,Castle,Classic,1981,Knight's Procession,48.0,50.0,361.0,65.58,236.3153846153846
69,6083-1,Castle,Classic,1981,Knight's Joust,211.0,160.0,750.0,450.0,236.3153846153846
70,6382-1,Town,Fire,1981,Fire Station,390.0,250.0,636.32,70.37,236.3153846153846
71,6383-1,Town,Maintenance,1981,Public Works Centre,421.0,300.0,2641.68,279.41,236.3153846153846
72,6927-1,Space,Classic,1981,All-Terrain Vehicle,170.0,145.0,299.0,40.91,236.3153846153846
73,6929-1,Space,Classic,1981,Starfleet Voyager,242.0,150.0,878.11,62.03,236.3153846153846
74,7725-1,Trains,4.5/12V,1981,Electric Passenger Train Set,485.0,700.0,1027.83,197.39,236.3153846153846
75,8845-1,Technic,Technic,1981,Dune Buggy,174.0,200.0,398.99,19.65,236.3153846153846
76,1030-1,Dacta,Technic,1982,Technic I Simple Machines Set,178.0,750.0,119.99,86.86,241.53846153846155
77,1211-1,Service Packs,Space,1982,Space Stands and Brackets,8.0,22.5,5.74,20.0,241.53846153846155
78,3654-1,Fabuland,Fabuland,1982,Lisa Lamb's House,32.0,100.0,139.9,25.36,241.53846153846155
79,3701-1,Fabuland,Fabuland,1982,Charlie Cat the fisherman,2.0,15.0,56.71,6.91,241.53846153846155
80,3704-1,Fabuland,Fabuland,1982,Marjorie Mouse,2.0,15.0,35.0,6.18,241.53846153846155
81,4005-1,Boats,Boats,1982,Tug Boat,66.0,100.0,357.35,23.87,241.53846153846155
82,6880-1,Space,Classic,1982,Surface Explorer,82.0,75.0,247.03,21.44,241.53846153846155
83,6890-1,Space,Classic,1982,Cosmic Cruiser,115.0,110.0,270.0,32.14,241.53846153846155
84,1031-1,Dacta,Dacta,1983,Building Cards - 1030,20.0,157.5,38.12,20.99,244.47692307692307
85,2711-1,Duplo,Trains,1983,Straight Tracks,4.0,40.0,4.98,5.86,244.47692307692307
86,2712-1,Duplo,Trains,1983,Curved Tracks,4.0,40.0,38.12,6.15,244.47692307692307
87,6711-1,Space,Classic,1983,Minifig Pack,24.0,45.0,38.12,374.62,244.47692307692307
88,7824-1,Trains,4.5/12V,1983,Railway Station,478.0,447.5,315.0,135.76,244.47692307692307
89,1032-1,Dacta,Technic,1984,Technic II Powered Machines Set,278.0,800.0,108.9,52.25,248.5076923076923
90,2305-1,Duplo,Duplo,1984,"Base Plate, Red",1.0,100.0,38.12,20.0,248.5076923076923
91,2717-1,Duplo,Trains,1984,Train Bridge,5.0,90.0,21.64,15.74,248.5076923076923
92,3670-1,Fabuland,Fabuland,1984,Service Station,52.0,200.0,38.12,54.53,248.5076923076923
93,3671-1,Fabuland,Fabuland,1984,Airport,49.0,222.5,200.0,55.85,248.5076923076923
94,6010-1,Castle,Lion Knights,1984,Supply Wagon,35.0,30.0,510.33,21.04,248.5076923076923
95,6021-1,Castle,Lion Knights,1984,Jousting Knights,37.0,52.5,267.75,35.53,248.5076923076923
96,6022-1,Castle,Lion Knights,1984,Horse Cart,42.0,50.0,325.0,23.25,248.5076923076923
97,6030-1,Castle,Black Falcons,1984,Catapult,83.0,60.0,382.25,32.78,248.5076923076923
98,6040-1,Castle,Lion Knights,1984,Blacksmith Shop,92.0,92.5,396.2,54.57,248.5076923076923
99,6061-1,Castle,Lion Knights,1984,Siege Tower,216.0,175.0,800.0,80.24,248.5076923076923
100,6073-1,Castle,Black Falcons,1984,Knight's Castle,408.0,270.0,1805.82,137.41,248.5076923076923
101,6080-1,Castle,Lion Knights,1984,King's Castle,664.0,527.5,2880.0,248.65,248.5076923076923
102,6373-1,Town,Shops and Services,1984,Motorcycle Shop,171.0,175.0,544.09,70.23,248.5076923076923
103,6391-1,Town,Shops and Services,1984,Cargo Centre,553.0,430.0,999.0,185.0,248.5076923076923
104,6684-1,Town,Police,1984,Police Patrol Squad,77.0,65.0,162.29,8.35,248.5076923076923
105,6804-1,Space,Classic,1984,Surface Rover,21.0,9.9,133.12,6.51,248.5076923076923
106,6846-1,Space,Classic,1984,Tri-Star Voyager,69.0,44.5,260.0,19.62,248.5076923076923
107,8889-1,Books,LEGO,1984,Ideas Book,110.0,50.0,38.12,20.0,248.5076923076923
108,810-1,Basic,Supplementaries,1985,Basic Motor Set,34.0,265.0,59.93,19.18,251.98461538461544
109,895-1,Basic,Supplementaries,1985,Wind-Up Motor,10.0,95.0,22.31,4.69,251.98461538461544
110,1000-1,Dacta,Dacta,1985,Mosaic Set,190.0,424.90000000000003,161.5,41.29,251.98461538461544
111,1014-2,Dacta,Dacta,1985,DUPLO Mosaic Puzzles – 4 Animal Families,80.0,264.9,38.12,20.45,251.98461538461544
112,1019-1,Dacta,Dacta,1985,DUPLO® Mosaic Puzzle - 1 Animal Family,20.0,74.9,38.12,25.0,251.98461538461544
113,1089-1,Dacta,Dacta,1985,3+ Years LEGO® Figures,24.0,79.9,38.12,20.0,251.98461538461544
114,1551-1,Basic,Basic,1985,Duck,6.0,4.0,6.33,0.73,251.98461538461544
115,1965-1,Basic,Basic,1985,"Building Set, Trial Size Offer",32.0,15.0,17.6,20.0,251.98461538461544
116,2301-1,Duplo,Duplo,1985,"Baseplates, Red",2.0,50.0,5.38,20.0,251.98461538461544
117,2647-1,Duplo,Duplo,1985,Farm Animals,17.0,120.0,38.12,17.69,251.98461538461544
118,3625-1,Fabuland,Fabuland,1985,Sandy Seagull's Aeroplane,8.0,52.5,61.4,11.34,251.98461538461544
119,3631-1,Fabuland,Fabuland,1985,The Fabuland Big Band Peter Pig and Gabriel Gorilla,30.0,52.5,76.2,23.89,251.98461538461544
120,3641-1,Fabuland,Fabuland,1985,Car and Camper,22.0,65.5,119.9,16.19,251.98461538461544
121,3643-1,Fabuland,Fabuland,1985,Police Van,9.0,65.5,65.0,12.91,251.98461538461544
122,3660-1,Fabuland,Fabuland,1985,Fisherman's Wharf,25.0,110.0,210.09,30.66,251.98461538461544
123,3673-1,Fabuland,Fabuland,1985,Paddle Steamer,61.0,200.0,205.74,59.21,251.98461538461544
124,3681-1,Fabuland,Fabuland,1985,Amusement Park,99.0,333.5,38.12,86.35,251.98461538461544
125,3714-1,Fabuland,Fabuland,1985,Workman and Barrow,6.0,22.5,38.12,10.5,251.98461538461544
126,3715-1,Fabuland,Fabuland,1985,Hannah's Flower Stand,14.0,22.5,45.0,8.84,251.98461538461544
127,3716-1,Fabuland,Fabuland,1985,Telephone,8.0,22.5,104.04,6.9,251.98461538461544
128,3792-1,Fabuland,Fabuland,1985,Bedroom,14.0,33.5,60.0,6.98,251.98461538461544
129,3794-1,Fabuland,Fabuland,1985,Police Motorcycle,14.0,33.5,80.79,10.1,251.98461538461544
130,3795-1,Fabuland,Fabuland,1985,Catherine Cat in her Kitchen,28.0,33.5,74.36,8.03,251.98461538461544
131,6102-1,Castle,Accessories,1985,Castle Mini-Figures,36.0,55.0,209.75,54.73,251.98461538461544
132,6368-1,Town,Flight,1985,Jet Airliner,136.0,127.5,212.5,28.98,251.98461538461544
133,6377-1,Town,Flight,1985,Delivery Centre,305.0,255.0,900.0,124.99,251.98461538461544
134,6385-1,Town,Fire,1985,Fire House-I,407.0,430.0,599.0,67.07,251.98461538461544
135,6392-1,Town,Flight,1985,Airport,530.0,527.5,1000.0,89.28,251.98461538461544
136,6688-1,Town,Medical,1985,Ambulance,72.0,66.0,256.04,10.66,251.98461538461544
137,6952-1,Space,Classic,1985,Solar Power Transporter,317.0,365.0,595.0,84.41,251.98461538461544
138,7722-1,Trains,4.5/12V,1985,Steam Cargo Train Set,495.0,685.0,350.0,144.58,251.98461538461544
139,7817-1,Trains,4.5/12V,1985,Crane Wagon,147.0,255.0,130.9,49.68,251.98461538461544
140,7835-1,Trains,4.5/12V,1985,Road Crossing,129.0,181.5,134.0,61.27,251.98461538461544
141,800-2,Basic,Supplementaries,1986,Extra Bricks Red,62.0,47.5,13.85,8.13,253.94615384615383
142,801-2,Basic,Supplementaries,1986,Extra Bricks Blue,82.0,47.5,17.1,20.0,253.94615384615383
143,802-2,Basic,Supplementaries,1986,Extra Bricks White,30.0,47.5,24.09,12.0,253.94615384615383
144,803-1,Basic,Supplementaries,1986,Extra Bricks Yellow,62.0,47.5,15.09,11.03,253.94615384615383
145,804-1,Basic,Supplementaries,1986,Extra Bricks Black,62.0,47.5,22.52,20.0,253.94615384615383
146,805-1,Basic,Supplementaries,1986,Extra Bricks Grey,62.0,47.5,23.39,9.99,253.94615384615383
147,813-1,Basic,Supplementaries,1986,"Baseplate, Green",1.0,45.0,15.0,7.67,253.94615384615383
148,814-1,Basic,Supplementaries,1986,"Baseplates, Green, Red and Yellow",3.0,39.0,9.07,8.55,253.94615384615383
149,815-1,Basic,Supplementaries,1986,"Baseplate, Grey",1.0,75.0,29.85,6.48,253.94615384615383
150,816-1,Basic,Supplementaries,1986,"Lighting Bricks, 4.5V",18.0,95.0,33.65,23.85,253.94615384615383
151,1090-1,Dacta,Dacta,1986,Technic Control 1,404.0,1400.0,227.66,118.88,253.94615384615383
152,1092-1,Dacta,Dacta,1986,Technic Control II,463.0,1910.0,272.75,245.84,253.94615384615383
153,1555-1,Basic,Seasonal,1986,Santa Claus,19.0,10.0,5.81,0.73,253.94615384615383
154,2756-1,Duplo,Duplo,1986,Kitchen,21.0,150.0,38.12,18.23,253.94615384615383
155,2770-1,Duplo,Duplo,1986,Play House,64.0,690.0,235.16,83.34,253.94615384615383
156,3633-1,Fabuland,Fabuland,1986,Motor Boat with Walter Walrus,13.0,52.5,53.97,11.49,253.94615384615383
157,3644-1,Fabuland,Fabuland,1986,Mike Monkey and his Taxi,10.0,65.5,111.19,13.85,253.94615384615383
158,3668-1,Fabuland,Fabuland,1986,Merry-Go-Round with Ticket Booth,42.0,177.5,223.69,35.78,253.94615384615383
159,3679-1,Fabuland,Fabuland,1986,Flour Mill and Shop,73.0,267.5,299.0,90.58,253.94615384615383
160,3718-1,Fabuland,Fabuland,1986,Outdoor Cafe with Bonnie Bunny,6.0,22.5,32.89,5.4,253.94615384615383
161,3796-1,Fabuland,Fabuland,1986,Patricia Piglet at her Bakery,30.0,33.5,46.77,11.1,253.94615384615383
162,6012-1,Castle,Lion Knights,1986,Siege Cart,54.0,35.0,264.0,19.09,253.94615384615383
163,6023-1,Castle,Lion Knights,1986,Maiden's Cart,43.0,55.0,300.0,25.32,253.94615384615383
164,6067-1,Castle,Lion Knights,1986,Guarded Inn,230.0,197.5,1500.0,186.95,253.94615384615383
165,6074-1,Castle,Black Falcons,1986,Black Falcon's Fortress,435.0,350.0,1350.0,182.1,253.94615384615383
166,6301-1,Town,Accessories,1986,Town Mini-Figures,32.0,55.0,152.77,28.8,253.94615384615383
167,6310-1,Town,Accessories,1986,"Road Plates, Junction",2.0,57.5,34.49,13.48,253.94615384615383
168,6311-1,Town,Accessories,1986,"Road Plates, Curved",2.0,57.5,25.69,17.71,253.94615384615383
169,6312-1,Town,Accessories,1986,"Road Plates, Straight",2.0,57.5,56.83,12.36,253.94615384615383
170,6313-1,Town,Accessories,1986,"Road Plates, Cross",2.0,57.5,37.79,10.0,253.94615384615383
171,6359-1,Town,Leisure,1986,Horse Trailer,141.0,127.5,266.74,21.45,253.94615384615383
172,6360-1,Town,Leisure,1986,Weekend Cottage,113.0,127.5,321.96,53.13,253.94615384615383
173,6361-1,Town,Vehicles,1986,Mobile Crane,163.0,127.5,378.1,29.38,253.94615384615383
174,6378-1,Town,Shops and Services,1986,Shell Service Station,291.0,255.0,509.0,90.56,253.94615384615383
175,6379-1,Town,Leisure,1986,Riding Stable,275.0,260.0,515.31,61.16,253.94615384615383
176,6480-1,Town,Fire,1986,Hook and Ladder Truck,118.0,200.0,229.85,46.73,253.94615384615383
177,6702-1,Space,Classic,1986,Space Mini-Figures,56.0,50.0,208.97,72.52,253.94615384615383
178,6783-1,Space,Classic,1986,Sonar Transmitting Cruiser,363.0,500.0,2250.0,133.91,253.94615384615383
179,8055-1,Technic,Universal,1986,Universal Motor Set,191.0,349.90000000000003,200.0,34.65,253.94615384615383
180,8842-1,Technic,Technic,1986,Go-Kart,281.0,250.0,116.47,33.26,253.94615384615383
181,0011-3,Castle,Bonus/Value Pack,1987,2 For 1 Bonus Offer,151.0,15.0,38.12,20.0,257.7307692307692
182,250-1,Books,LEGO,1987,Building Ideas Book,1.0,30.0,38.12,20.0,257.7307692307692
183,2020-1,Duplo,Baby,1987,Duck Rattle - Teether,1.0,50.0,38.12,17.72,257.7307692307692
184,2070-1,Duplo,Baby,1987,Telephone Rattle,3.0,185.0,38.12,24.56,257.7307692307692
185,2637-1,Duplo,Duplo,1987,Fire Engine,5.0,155.0,38.12,5.6,257.7307692307692
186,2714-1,Duplo,Trains,1987,Train Crossings,4.0,75.0,9.21,20.0,257.7307692307692
187,3674-1,Fabuland,Fabuland,1987,Bonnie Bunny's New House,44.0,147.5,237.9,49.24,257.7307692307692
188,3682-1,Fabuland,Fabuland,1987,Fire Station,149.0,397.5,596.15,84.36,257.7307692307692
189,4010-1,Boats,Boats,1987,Police Rescue Boat,83.0,155.0,436.39,30.41,257.7307692307692
190,4020-1,Boats,Boats,1987,Fire Fighter,206.0,285.0,245.0,72.48,257.7307692307692
191,4030-1,Boats,Boats,1987,Cargo Carrier,323.0,440.0,361.25,150.67,257.7307692307692
192,5000-1,Service Packs,Service Packs,1987,Replacement Motor 4.5V,1.0,70.0,34.0,20.0,257.7307692307692
193,5005-1,Service Packs,Service Packs,1987,Battery Box Grey 4.5V for use with Basic set 816,1.0,57.5,33.52,7.93,257.7307692307692
194,5033-1,Service Packs,Service Packs,1987,Light and Sound 1 x 4 Lighting Brick and 4 Colour Globes,5.0,55.0,16.24,1.28,257.7307692307692
195,5061-1,Service Packs,Trains,1987,Train Connector Leads 25 and 75 cm,6.0,35.0,10.53,6.81,257.7307692307692
196,5100-1,Service Packs,Service Packs,1987,Battery Box (Tube) 4.5V,1.0,80.0,10.15,5.0,257.7307692307692
197,5101-1,Service Packs,Service Packs,1987,Motor 4.5V,1.0,125.0,5.09,7.75,257.7307692307692
198,5102-1,Service Packs,Technic,1987,Pneumatic Tube Black and Grey 60 and 100 cm,2.0,20.0,22.0,20.0,257.7307692307692
199,5103-1,Service Packs,Technic,1987,Pneumatic Spring Cylinder 48 mm Red,1.0,20.0,9.95,20.0,257.7307692307692
200,5104-1,Service Packs,Technic,1987,Pneumatic Piston Cylinder 48 mm Yellow,1.0,20.0,19.99,5.58,257.7307692307692
201,5105-1,Service Packs,Technic,1987,Pneumatic Piston Cylinder 64 mm Yellow,1.0,25.0,16.66,13.45,257.7307692307692
202,5106-1,Service Packs,Technic,1987,Two-Way Valve and Non-Return Valve,2.0,35.0,35.53,9.61,257.7307692307692
203,5148-1,Service Packs,Service Packs,1987,Wheels and Tyres,40.0,52.5,38.12,20.0,257.7307692307692
204,5161-1,Service Packs,Service Packs,1987,16 Inverted Slope Bricks,16.0,30.0,2.99,20.0,257.7307692307692
205,5168-1,Service Packs,Service Packs,1987,Digger Bucket Assembly,4.0,30.0,0.03,1.58,257.7307692307692
206,5171-1,Service Packs,Service Packs,1987,Decorated Elements,28.0,30.0,42.48,20.0,257.7307692307692
207,5172-1,Service Packs,Service Packs,1987,"Round Bricks, Rocket Noses and Tails",30.0,35.0,17.05,20.0,257.7307692307692
208,5173-1,Service Packs,Space,1987,"Space Wings, Sloping Frames, Space Motors and Seats",19.0,27.5,29.34,10.68,257.7307692307692
209,5174-1,Service Packs,Service Packs,1987,Wheels and Bearings (Grooved Tyres and Hubs),28.0,27.5,5.02,20.0,257.7307692307692
210,5175-1,Service Packs,Space,1987,Space Equipment,26.0,35.0,19.85,20.0,257.7307692307692
211,5176-1,Service Packs,Service Packs,1987,Transparent Bricks,19.0,27.5,30.0,20.0,257.7307692307692
212,5177-1,Service Packs,Service Packs,1987,Town and Space Tools,35.0,27.5,25.0,20.0,257.7307692307692
213,5178-1,Service Packs,Town,1987,Plane Accessories,23.0,27.5,5.99,20.0,257.7307692307692
214,5180-1,Service Packs,Service Packs,1987,Airport T-Junction and Circle Base Plates,2.0,60.0,38.12,20.0,257.7307692307692
215,5181-1,Service Packs,Service Packs,1987,Two Straight Airport Runways,2.0,60.0,38.12,10.08,257.7307692307692
216,5231-1,Service Packs,Service Packs,1987,20 Technic Beams and Plates Yellow,20.0,27.5,4.94,20.0,257.7307692307692
217,5232-1,Service Packs,Service Packs,1987,20 Technic Beams and Plates Blue,18.0,27.5,10.33,20.0,257.7307692307692
218,5239-1,Service Packs,Service Packs,1987,34 Cross Axles,34.0,32.5,5.84,20.0,257.7307692307692
219,5240-1,Service Packs,Service Packs,1987,6 Wheel Hubs and Tyres 24 mm (4) and 43 mm (2),12.0,27.5,4.47,20.0,257.7307692307692
220,5241-1,Service Packs,Service Packs,1987,"Gear Rack and Wheels, Wedge-Belt and Crown Wheels",20.0,32.5,14.33,20.0,257.7307692307692
221,5242-1,Service Packs,Service Packs,1987,Differential Housing and Steering Elements,19.0,35.0,7.86,20.0,257.7307692307692
222,5243-1,Service Packs,Service Packs,1987,70 Chain Links,70.0,35.0,10.73,0.04,257.7307692307692
223,5244-1,Service Packs,Service Packs,1987,54 Crawler Track Links,54.0,30.0,16.3,5.25,257.7307692307692
224,5246-1,Service Packs,Service Packs,1987,2 Tyres and Hubs 81 mm,4.0,47.5,25.0,20.0,257.7307692307692
225,5247-1,Service Packs,Service Packs,1987,"Bushes, Piston Rods and Toggle Joints",66.0,30.0,11.44,20.0,257.7307692307692
226,5249-1,Service Packs,Service Packs,1987,20 Technic Beams and Plates Red,20.0,27.5,5.72,20.0,257.7307692307692
227,6016-1,Castle,Lion Knights,1987,Knights' Arsenal,37.0,42.5,247.5,16.09,257.7307692307692
228,6017-1,Castle,Lion Knights,1987,King's Oarsmen,45.0,37.5,125.77,19.06,257.7307692307692
229,6035-1,Castle,Black Falcons,1987,Castle Guard,52.0,57.5,150.0,29.97,257.7307692307692
230,6049-1,Castle,Lion Knights,1987,Viking Voyager,99.0,110.0,340.0,69.22,257.7307692307692
231,6062-1,Castle,Black Falcons,1987,Battering Ram,236.0,199.5,740.0,138.14,257.7307692307692
232,6066-1,Castle,Forestmen,1987,Camouflaged Outpost,211.0,230.0,969.76,151.1,257.7307692307692
233,6358-1,Town,Fire,1987,Snorkel Squad,153.0,135.0,408.57,23.22,257.7307692307692
234,6380-1,Town,Medical,1987,Emergency Treatment Centre,308.0,297.5,467.5,88.28,257.7307692307692
235,6381-1,Town,Racing,1987,Motor Speedway,205.0,230.0,222.36,32.59,257.7307692307692
236,6393-1,Town,Shops and Services,1987,Big Rig Truck Stop,621.0,527.5,2422.5,300.0,257.7307692307692
237,6641-1,Town,Vehicles,1987,4-Wheelin' Truck,81.0,65.0,87.54,6.42,257.7307692307692
238,6687-1,Town,Flight,1987,Turbo Prop I,78.0,64.80000000000001,104.89,10.12,257.7307692307692
239,6884-1,Space,Futuron,1987,Hyper Pod explorer,102.0,99.9,195.79,28.55,257.7307692307692
240,6953-1,Space,Futuron,1987,Cosmic Laser Launcher,208.0,300.0,643.34,147.97,257.7307692307692
241,6954-1,Space,Blacktron,1987,Renegade,313.0,300.0,1350.0,194.39,257.7307692307692
242,6990-1,Space,Futuron,1987,Monorail Transport System,731.0,1550.0,3500.0,543.85,257.7307692307692
243,8890-1,Books,LEGO,1987,Ideas Book,110.0,45.0,38.12,20.0,257.7307692307692
244,2614-1,Duplo,Duplo,1988,Mother and Baby,1.0,47.5,15.14,5.51,262.0846153846154
245,2652-1,Duplo,Duplo,1988,Circus Caravan,16.0,352.5,85.0,27.73,262.0846153846154
246,2701-1,Duplo,Trains,1988,Train and Station Set,42.0,440.0,38.12,33.95,262.0846153846154
247,6039-1,Castle,Lion Knights,1988,Twin-Arm Launcher,77.0,85.0,360.2,35.87,262.0846153846154
248,6054-1,Castle,Forestmen,1988,Forestmen's Hideout,201.0,175.0,544.62,70.88,262.0846153846154
249,6085-1,Castle,Black Knights,1988,Black Monarch's Castle,702.0,680.0,3060.0,235.15,262.0846153846154
250,6103-1,Castle,Accessories,1988,Castle Mini Figures,42.0,67.5,262.85,71.12,262.0846153846154
251,6309-1,Town,Accessories,1988,Town Mini-Figures,37.0,60.0,65.26,18.23,262.0846153846154
