Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"1416-1","Space","Life On Mars",2001,"Worker Robot",1,30,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,14.2600,6.0300,"",""
"1417-1","Bionicle","Promotional",2001,"Vakama",,28,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,80.0000,38.1900,"",""
"1418-1","Bionicle","Promotional",2001,"Matau",,26,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,60.5300,20.0000,"",""
"1419-1","Bionicle","Promotional",2001,"Nokama",,27,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,34.9900,35.3800,"",""
"1420-1","Bionicle","Promotional",2001,"Nuju",,29,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,15.0000,14.4000,"",""
"1421-1","Studios","Promotional",2001,"Director's Copter",1,22,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,7.0000,6.0000,"",""
"1422-1","Studios","Promotional",2001,"Camera Cart",1,20,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.2200,,"",""
"1423-1","Studios","Promotional",2001,"Air Boat",1,24,,,,,,,10.16,13.6525,3.4925,,"",0,0,0,,0,0,,,,,,,,,5.2200,,"",""
"1424-1","Studios","Promotional",2001,"Stunt Go-Kart",1,25,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.5900,,"",""
"1452-1","Baby","",2001,"Flower",,1,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1453-1","Baby","",2001,"Butterfly",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1454-1","Baby","",2001,"Stack-n-Learn",,3,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.3800,,"",""
"1456-1","Baby","",2001,"Squirt Frog",,1,3.99,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1457-1","Baby","",2001,"Caterpillar",,3,6.99,8,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,24.6400,9.6900,"",""
"1528-2","Gear","Pens",2001,"Pen Baseball",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1529-1","Gear","Pens",2001,"Pen Basketball",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1530-1","Gear","Pens",2001,"Pen Football",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,499.0000,"",""
"1532-1","Gear","Pens",2001,"Pen Aquazone",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1533-1","Gear","Pens",2001,"Pen Mini Figure Faces",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1534-1","Gear","Pens",2001,"Pen Legoland",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1535-1","Gear","Pens",2001,"Pen Knights' Kingdom",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1537-1","Gear","Pens",2001,"Pen Dream Star",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1538-1","Gear","Pens",2001,"Pen Safari",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1539-1","Gear","Pens",2001,"Pen Classic II",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1701-2","Gear","Pens",2001,"Pen Pack Gali",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1702-2","Gear","Pens",2001,"Pen Pack Kopaka",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1703-2","Gear","Pens",2001,"Pen Pack Lewa",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1704-2","Gear","Pens",2001,"Pen Pack Onua",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1705-1","Gear","Pens",2001,"Pen Pack Pohatu",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1706-1","Gear","Pens",2001,"Pen Pack Tahu",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1708-2","Gear","Pens",2001,"Limited Edition Pen",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,125.0000,51.9900,"",""
"2032-2","Gear","Pens",2001,"Pen Pack Space Port",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2580-1","Duplo","",2001,"Friendly Animal Bus",5,103,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2863-1","Duplo","",2001,"Box of Bricks",,100,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2878-2","Seasonal","Christmas",2001,"Santa Claus Mos Burger Gift Box- Hawaiian Shirt Santa",,1,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,13.9100,,"",""
"2878-3","Seasonal","Christmas",2001,"Santa Claus Mos Burger Gift Box - Tuxedo Santa",,1,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,31.6300,,"",""
"2878-4","Seasonal","Christmas",2001,"Santa Claus Mos Burger Gift Box - Soccer Santa",,1,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,13.5300,,"",""
"2878-5","Seasonal","Christmas",2001,"Santa Claus Mos Burger Gift Box - King and Queen Santa",,1,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,34.7800,,"",""
"2927-1","Duplo","",2001,"{House with CD-ROM}",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2946-1","Action Wheelers","",2001,"MyBot Expansion Kit",1,14,12.99,13,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,54.0500,,"",""
"2947-1","Action Wheelers","",2001,"Speedbike",1,13,14.99,15,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,29.5300,22.0300,"",""
"2949-1","Action Wheelers","",2001,"Remote Control Dozer",1,21,39.99,35,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,343.9800,49.9000,"",""
"2951-1","Duplo","Dolls",2001,"Lisa",2,4,6.99,10,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,27.1000,32.5200,"",""
"2952-1","Duplo","Dolls",2001,"Marie",2,6,7.99,10,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,27.2500,37.0700,"",""
"2953-1","Duplo","Dolls",2001,"Anna",2,4,7.99,10,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,27.1000,37.5700,"",""
"2954-1","Duplo","Dolls",2001,"Picnic",,14,9.99,15,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,170.9100,32.2000,"",""
"2955-1","Duplo","Dolls",2001,"Sarah",2,32,29.99,30,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,152.1000,90.7900,"",""
"2961-1","Duplo","Dolls",2001,"Bedroom",,20,12.99,20,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,40.6500,80.5000,"",""
"2971-1","Duplo","",2001,"Action Policebike",1,5,3.99,3,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,15.0200,2.9700,"",""
"2973-1","Baby","",2001,"Musical Apple",,1,6.99,8,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,10.5400,"",""
"2974-1","Baby","",2001,"Play Train",1,6,8.99,10,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,28.7400,,"",""
"2975-1","Duplo","Winnie the Pooh",2001,"Bouncing with Tigger",1,11,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,68.3500,11.4800,"",""
"2976-1","Duplo","Winnie the Pooh",2001,"Acorn Adventure with Piglet",1,11,,,,,,042884029760,,,,,"",0,0,0,,0,0,,,,,,,,,25.1600,9.7600,"",""
"2977-1","Duplo","Winnie the Pooh",2001,"Eeyore and the Little Raincloud",1,9,,,,,5702012014550,042884029777,,,,,"",0,0,0,,0,0,,,,,,,,,17.1600,6.8800,"",""
"2979-1","Duplo","Winnie the Pooh",2001,"Build and Play in the Pop-Up 100 Acre Wood",1,13,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,77.1200,,"",""
"2991-1","Duplo","Winnie the Pooh",2001,"Pooh and the Honeybees",1,11,,,,,,042884029913,,,,,"",0,0,0,,0,0,,,,,,,,,25.0000,21.0800,"",""
"2993-1","Duplo","Winnie the Pooh",2001,"Surprise Birthday Party for Eeyore",3,25,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,49.5000,"",""
"3083-1","Duplo","",2001,"Flying Action",2,9,9.99,10,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"3085-1","Duplo","",2001,"Race Action",4,46,29.99,20,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,63.9700,26.9800,"",""
"3087-1","Duplo","",2001,"Circus Princess",1,7,3.99,4,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,16.5000,5.7900,"",""
"3088-1","Duplo","",2001,"Growing Garden",1,19,9.99,10,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,39.1500,"",""
"3089-1","Duplo","",2001,"Adventure Trip",2,29,17.99,15,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,49.5100,24.9900,"",""
"3090-1","Duplo","",2001,"Forest Picnic",4,24,17.99,15,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,39.9600,29.4800,"",""
"3091-1","Duplo","",2001,"Big Gas Truck",1,3,4.99,4,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,4.5400,"",""
"3092-1","Duplo","",2001,"Friendly Farm",1,10,9.99,10,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,35.6400,21.9600,"",""
"3093-1","Duplo","",2001,"Fun Playground",4,24,17.99,20,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,26.9800,"",""
"3095-1","Duplo","",2001,"Wildlife Park",3,32,49.99,40,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,84.7900,40.9800,"",""
"3121-1","Scala","Dolls",2001,"Summer Day Out",1,20,5.99,8,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,43.5800,26.8300,"",""
"3122-1","Scala","Dolls",2001,"1-2-3 ... Marie",1,17,9.99,15,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,26.0000,37.5800,"",""
"3123-1","Scala","Dolls",2001,"Emma's Chill-Out Kitchen",1,58,14.99,20,,,,,28.8,24,6,,"",0,0,0,,0,0,,,,,,,,,59.9000,,"01/09/2001","31/12/2001"
"3124-1","Scala","Dolls",2001,"Indie's Stable",,95,39.99,50,,,,,48,28.8,11.4,,"",0,0,0,,0,0,,,,,,,,,64.6800,55.5900,"01/09/2001","30/09/2002"
"3126-1","Duplo","",2001,"Green Bucket",1,40,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"3160-1","Baby","",2001,"Play Plane",1,1,3.99,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,12.9500,"",""
"3161-1","Baby","",2001,"Soft Stacking Hen",,5,12.99,10,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,26.8200,,"",""
"3162-1","Baby","",2001,"Take Along Friend",1,1,2.99,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,9.5200,,"",""
"3169-1","Baby","",2001,"Crib and Mirror Adventure",,2,12.99,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,31.6900,,"",""
"3170-1","Baby","",2001,"Light and Sound Stacker",,10,14.99,15,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"3172-1","Baby","",2001,"Soft Frog Rattle",,1,2.99,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"3173-1","Baby","",2001,"Caterpillar Teether",,1,3.99,7,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"3197-1","Basic","",2001,"Aircraft",,15,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,6.7100,,"",""
"3212-1","Baby","",2001,"Star Teether",,1,2.99,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,12.8500,,"",""
"3235-1","Baby","",2001,"Soft Ladybird and Bee",,1,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,15.1200,,"",""
"3236-1","Baby","",2001,"Roll 'n' Play",,1,4.99,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"3237-1","Baby","",2001,"Stacking Tower",,5,6.99,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,19.0600,5.4700,"",""
"3238-1","Baby","",2001,"Shape and Colour Sorter",,9,12.99,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,20.0000,"",""
"3263-1","Duplo","Zooters",2001,"Goozle",,10,6.99,10,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,11.9500,10.7800,"",""
"3264-1","Duplo","Zooters",2001,"Tez",,9,6.99,10,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,13.8700,10.7800,"",""
"3265-1","Duplo","Zooters",2001,"Wazo",,6,12.99,12,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,47.8600,11.7000,"",""
"3266-1","Duplo","",2001,"Tubes",,58,17.99,15,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,66.9000,53.9700,"",""
"3267-1","Duplo","",2001,"Brick Runner",,25,12.99,10,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,27.1000,21.5800,"",""
"3271-1","Duplo","Bob the Builder",2001,"Bob's Workshop",1,10,5.99,6,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,35.5500,5.0700,"",""
"3272-1","Duplo","Bob the Builder",2001,"Scoop on the Road",1,21,9.99,10,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,42.4400,13.2000,"",""
"3273-1","Duplo","Bob the Builder",2001,"Bob, Lofty and the Mice",2,18,14.99,15,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,55.4400,31.5200,"",""
"3274-1","Duplo","Bob the Builder",2001,"Bob and Muck Repair the Barn",2,35,17.99,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,28.6000,18.6800,"",""
"3275-1","Duplo","Bob the Builder",2001,"Bob's Big Building Box",1,51,19.99,20,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,43.5300,"",""
"3276-1","Duplo","Bob the Builder",2001,"Muck and Scoop",4,52,29.99,30,,,5702012015977,,,,,,"",0,0,0,,0,0,,,,,,,,,71.0300,40.0000,"",""
"3415-1","Sports","Football",2001,"Japanese Soccer Team",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"3416-1","Sports","Football",2001,"Women's Team",6,62,,9.95,,,,042884034160,19.2,14.2,7,,"",0,0,0,,0,0,,,,,,,,,28.8800,13.9900,"01/05/2001","31/12/2002"
"3418-1","Sports","Football",2001,"Point Shooting",1,24,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,24.0000,4.8100,"",""
"3419-1","Sports","Football",2001,"Precision Shooting",1,24,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,24.0000,10.0000,"",""
"3451-1","Advanced models","Aircraft",2001,"Sopwith Camel",,574,39.99,50,,,,,38.4,28.8,7.2,,"",0,0,0,,0,0,,,,,,,,,270.6200,110.9900,"01/05/2001","31/12/2003"
"3507-1","Bulk Bricks","",2001,"1x4x3 Wall Element Clear",,25,,8,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,16.6500,,"",""
"3508-1","Bulk Bricks","",2001,"1x4x5 Black Window with Transparent Light Blue Pane",,20,,9,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,13.0000,,"",""
"3724-1","Advanced models","Sculptures",2001,"LEGO Dragon",,1530,,99,,,,,53.2,38.4,9.6,,"",0,0,0,,0,0,,,,,,,,,1315.9200,187.5000,"01/01/2001","30/06/2002"
"3740-1","Trains","9V",2001,"Small Locomotive",,67,9.75,15,,,5702012018695,042884037406,19.2,14.4,4.8,,"",0,0,0,,0,0,,,,,,,,,62.4900,45.0000,"01/04/2001","31/12/2003"
"3741-1","Trains","9V",2001,"Large Locomotive",,92,12.99,20,,,5702012018701,042884037413,19.2,19.2,4.8,,"",0,0,0,,0,0,,,,,,,,,129.9800,136.2300,"01/04/2001","31/12/2003"
"3742-1","Trains","9V",2001,"Tender",,39,6.99,11,,,5702012018718,042884037420,19.2,14.4,4.8,,"",0,0,0,,0,0,,,,,,,,,86.0800,62.5000,"01/04/2001","31/12/2003"
"3743-1","Trains","9V",2001,"Locomotive Blue Bricks",,106,3.99,7,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,38.1200,28.7500,"",""
"3744-1","Trains","9V",2001,"Locomotive Green Bricks",,106,3.99,7,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,23.5700,16.2000,"",""
"3745-1","Trains","9V",2001,"Locomotive Black Bricks",,106,3.99,7,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,30.7100,,"",""
"3746-1","Trains","9V",2001,"Locomotive Brown Bricks",,106,3.99,7,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,31.2500,,"",""
"3747-1","Trains","9V",2001,"Locomotive Dark Grey Bricks",,106,3.99,7,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,15.8300,17.5800,"",""
"3748-1","Trains","9V",2001,"Light Unit for Train",,4,6.99,10,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,37.3300,15.8600,"",""
"3750-1","Bulk Bricks","Space",2001,"Life On Mars Accessories",,48,,4.99,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,9.7600,,"",""
"3751-1","Bulk Bricks","",2001,"1x2 Brown Bricks",,100,,6,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,9.0900,,"",""
"3752-1","Bulk Bricks","",2001,"1x6 Brown Bricks",,50,,7,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,29.5100,,"",""
"3753-1","Bulk Bricks","",2001,"2x2 Brown Bricks",,100,,7,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"3754-1","Bulk Bricks","",2001,"2x4 Brown Bricks",,50,,7,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"3755-1","Bulk Bricks","",2001,"2x4 Roof Tiles Steep Sloped Brown",,50,,8,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,13.6700,,"",""
"3756-1","Bulk Bricks","",2001,"2x4 Ridge Roof Tiles Steep Sloped Brown",,25,,5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,10.0000,,"",""
"3800-1","Mindstorms","1.5",2001,"Ultimate Builders Set",,321,49.99,60,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,105.0000,50.0000,"",""
"3804-1","Mindstorms","2.0",2001,"Robotics Invention System V2.0",,717,159.99,200,,,5702012010842,42884038045,55.2,32.4,11.4,2.75,"",0,0,0,,0,0,,,,,,,,,224.9700,143.5300,"31/12/2004","31/03/2006"
"3805-1","Mindstorms","1.5",2001,"Robotics Invention System Upgrade Kit",,1,,20,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"3901-1","Gear","Digital media",2001,"Jack Stone Video",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"3917-1","Gear","Key Chains/Brick",2001,"Red Brick Key Chain",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"3924-1","Gear","Key Chains/Studios",2001,"Director Key Chain",,,,3,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"3925-1","Gear","Key Chains/Island Xtreme Stunts",2001,"Brickster Key Chain",,,,3,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"3948-1","Gear","Key Chains/Star Wars",2001,"Stormtrooper",,,,4,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"3974-1","Gear","Key Chains/Western",2001,"Cowboy Key Chain",,,2.99,3,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"4016-1","Creator","Promotional",2001,"Racer",,21,,2,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.0900,0.6500,"",""
"4017-1","Creator","Promotional",2001,"Sea Helicopter",,13,,2,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,10.1500,2.8300,"",""
"4018-1","Creator","Promotional",2001,"Ship",,12,,2,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,20.0000,1.7900,"",""
"4019-1","Creator","Promotional",2001,"Aeroplane",,17,,2,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,10.1500,1.9300,"",""
"4049-1","Studios","Promotional",2001,"Nesquik Bunny Film Set",3,28,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,126.2100,68.3300,"",""
"4051-1","Studios","Promotional",2001,"Nesquik Bunny",1,4,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,100.0200,68.2800,"",""
"4052-1","Studios","Promotional",2001,"Director",1,4,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,7.4600,4.3700,"",""
"4053-1","Studios","Promotional",2001,"Cameraman",1,5,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,7.3700,11.5700,"",""
